symbol(mm)	entrez(hs)
Col5a1	1289
Tgm2	7052
Gpc1	2817
Phkg1	5260
Efna1	1942
Ampd3	272
Tktl1	8277
Pnrc1	10957
Plaur	5329
Glrx	2745
Maff	23764
Serpine1	5054
Cited2	10370
Gapdh	2597
Errfi1	54206
Ets1	2113
Aldoa	226
Tmem45a	55076
Pdk1	5163
Pgam2	5224
Atf3	467
Aldoc	230
Gcnt2	2651
Pgf	5228
Gpc4	2239
Nr3c1	2908
Fbp1	2203
Pgm1	55276
Igfbp3	3486
Tpd52	7163
Ppfia4	-
Prkcdbp	112464
Ldha	-
Rbpj	3516
Pkp1	5317
Plac8	51316
Dcn	1634
Igfbp1	3484
Cdkn1c	-
Slc37a4	2542
Ppargc1a	10891
Ugp2	7360
Csrp2	1466
Bhlhe40	8553
Hmox1	3162
